Country,Total
Afghanistan,11.874211
Albania,4.619109
Algeria,176.26907
Andorra,0.452888
Angola,21.362717
Anguilla,0.144744
Antarctica,0
Antigua and Barbuda,0.468695
Argentina,186.448284
Armenia,6.806045
Aruba,0.858126
Australia,391.187411
Austria,64.625588
Azerbaijan,38.492804
Bahamas,2.386463
Bahrain,39.016088
Bangladesh,93.175944
Barbados,1.125301
Belarus,59.602457
Belgium,95.722285
Belize,0.689321
Benin,7.755815
Bermuda,0.54796
Bhutan,1.522086
"Bonaire, Saint Eustatius and Saba",0.103389
Bosnia and Herzegovina,13.566311
Botswana,6.499919
Brazil,488.88107
British Virgin Islands,0.158529
Brunei Darussalam,10.480519
Bulgaria,42.56021
Burkina Faso,5.698262
Burundi,0.692908
Cambodia,19.028598
Canada,545.634517
Cape Verde,0.667694
Central African Republic,0.227296
Chad,1.939918
Chile,85.446923
China,11472.36917
Christmas Island,0
Colombia,91.70338
Comoros,0.298171
Congo,7.464369
Cook Islands,0.091403
Costa Rica,7.819507
Côte d'Ivoire,11.706642
Croatia,17.701451
Cuba,22.05733
Curaçao,1.843765
Cyprus,7.600422
Czech Republic,97.138329
North Korea,56.380104
Democratic Republic of the Congo,2.606688
Denmark,29.576956
Djibouti,0.379178
Dominica,0.158529
Dominican Republic,28.922094
Ecuador,41.321734
Egypt,249.624151
El Salvador,7.204384
Equatorial Guinea,5.224788
Eritrea,0.820601
Estonia,10.449021
Ethiopia,17.792552
Faeroe Islands,0.698346
Micronesia (Federated States of),0.158962
Fiji,1.470402
Finland,37.602328
Panama Canal Zone,0
France,305.96371
French Equatorial Africa,0
French Guiana,0.651382
French Polynesia,0.9498
French West Africa,0
Gabon,5.712477
Gambia,0.655699
Georgia,11.009796
Germany,674.753566
Ghana,21.312801
Greece,56.309279
Greenland,0.510659
Grenada,0.31921
Guadeloupe,2.291068
Guatemala,20.327104
Guinea,4.841779
Guinea-Bissau,0.351839
Guyana,3.087826
Haiti,2.875923
Honduras,10.897812
Hong Kong,31.664379
Hungary,48.454619
Iceland,3.374964
India,2709.683625
Indonesia,619.277533
Iraq,185.580695
Ireland,37.540329
Iran,748.878752
Israel,54.528532
Italy,328.68732
Jamaica,7.689743
Japan,1067.398435
Jordan,25.593717
Kazakhstan,276.68346
Kenya,19.875403
Kiribati,0.071533
Kosovo,5.644358
Kuwait,106.134264
Kuwaiti Oil Fires,0
Kyrgyzstan,9.308101
Laos,20.7775
Latvia,7.266214
Lebanon,24.958901
Leeward Islands,0
Lesotho,2.282165
Liberia,1.19526
Libya,74.525079
Liechtenstein,0.15095
Lithuania,13.880837
Luxembourg,8.354555
Macao,1.286771
North Macedonia,6.851552
Madagascar,4.244355
Malawi,1.552193
Malaysia,256.048939
Maldives,2.118174
Mali,4.169758
Malta,1.724154
Marshall Islands,0.158962
Martinique,2.100146
Mauritania,4.118111
Mauritius,4.471674
Mayotte,0.273281
Mexico,407.205037
Mongolia,50.315914
Montenegro,1.751386
Montserrat,0.020678
Morocco,70.577665
Mozambique,7.156209
Myanmar,36.306759
Namibia,4.014822
Nauru,0.059611
Nepal,14.173067
Netherlands,141.045431
New Caledonia,5.496273
New Zealand,33.789825
Nicaragua,5.05977
Niger,2.698898
Nigeria,136.986784
Niue,0.011922
Norway,40.918553
Occupied Palestinian Territory,3.092231
Oman,80.991181
Pacific Islands (Palau),0
Pakistan,229.512397
Palau,0.238444
Panama,13.03162
Papua New Guinea,8.509555
Paraguay,8.576565
Peru,56.282
Philippines,144.263875
Bolivia,23.321669
Poland,328.579763
Portugal,40.797216
Puerto Rico,0
Qatar,95.66718
Cameroon,9.297284
South Korea,616.074996
Moldova,5.60151
South Sudan,1.58206
Sudan,21.038215
Réunion,4.102958
Romania,79.32686
Russia,1755.54739
Rwanda,1.754532
Ryukyu Islands,0
Saint Helena,0.013785
Saint Lucia,0.485927
Sint Maarten (Dutch part),0.647902
Samoa,0.29408
Sao Tome and Principe,0.131978
Saudi Arabia,672.37987
Senegal,13.59791
Serbia,30.868986
Seychelles,0.568279
Sierra Leone,1.299404
Singapore,32.506889
Slovakia,35.308218
Slovenia,12.54933
Solomon Islands,0.317925
Somalia,0.610374
South Africa,435.928899
Spain,233.649543
Sri Lanka,20.78091
Saint Kitts and Nevis,0.237794
St. Kitts-Nevis-Anguilla,0
Saint Pierre and Miquelon,0.062033
Saint Vincent and the Grenadines,0.21367
Suriname,2.793206
Swaziland,1.087219
Sweden,35.848949
Switzerland,34.931692
Syria,27.00077
Taiwan,282.856073
Tajikistan,10.336408
Thailand,278.495695
Timor-Leste,0.736328
Togo,2.34202
Tonga,0.174859
Trinidad and Tobago,36.124037
Tunisia,31.582747
Turkey,446.204185
Turkmenistan,83.006808
Turks and Caicos Islands,0.341183
Tuvalu,0.007948
Uganda,5.780464
Ukraine,201.857716
United Arab Emirates,204.086658
United Kingdom,346.773181
Tanzania,13.058865
United States of America,5007.335889
Uruguay,6.737872
Uzbekistan,121.631478
Vanuatu,0.174859
Venezuela,79.746599
Viet Nam,326.013668
Wallis and Futuna Islands,0.027818
Yemen,12.476597
Zambia,7.67618
Zimbabwe,11.296114
International Transport,1021.749204
Global,37123.85035
